p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,strat_money
161615,融通易支付货币B,2019-01-17,0.79,3.047,3.1203,3.2098,3.1824,0.2688,0.742,1.5272,3.4519,5000000
3534,浦银安盛日日丰货币A,2019-01-17,0.8558,3.304,3.2919,3.4118,3.3942,0.2935,0.7884,1.5449,3.4526,100
5016,长江优享货币A,2019-01-17,0.7088,2.738,2.7637,3.1229,2.9918,0.2579,0.6878,1.4548,3.4535,100
325,华润元大现金收益货币B,2019-01-17,0.7284,2.684,2.6927,3.1466,2.9794,0.2632,0.6282,1.3206,3.4539,5000000
559,诺安天天宝A,2019-01-17,0.7183,2.626,2.7186,2.9334,2.9243,0.2463,0.6859,1.444,3.4559,100
4330,太平日日鑫货币A,2019-01-17,1.2983,4.068,3.1482,3.0262,2.8254,0.246,0.6501,1.4887,3.4561,100
4494,华泰保兴货币B,2019-01-17,0.6868,2.64,2.9362,3.272,3.1341,0.282,0.7179,1.4423,3.4595,5000000
3399,太平日日金货币B,2019-01-17,0.6816,2.64,2.8008,3.0509,2.9795,0.254,0.7033,1.4811,3.4642,5000000
3994,华富货币B,2019-01-17,0.6939,2.481,2.6657,3.2756,3.1593,0.2714,0.7249,1.4768,3.4664,5000000
460106,华泰柏瑞货币B,2019-01-17,0.6757,2.439,2.6496,3.5724,3.412,0.2924,0.725,1.4357,3.468,5000000
2078,浙商日添利B,2019-01-17,1.0733,2.655,2.8615,3.2109,3.5057,0.2637,0.722,1.4666,3.4682,5000000
180009,银华货币B,2019-01-17,0.8266,3.198,3.1984,3.2339,3.193,0.2701,0.7195,1.5008,3.4726,5000000
90022,大成现金增利货币A,2019-01-17,0.7994,2.83,2.7918,2.8806,2.8575,0.2411,0.6676,1.4066,3.4745,100
773,万家现金宝A,2019-01-17,0.7743,2.886,2.9821,3.0399,3.0861,0.2538,0.7541,1.5542,3.4776,100
519509,浦银安盛货币A,2019-01-17,0.7453,2.831,2.8796,3.0576,2.9953,0.2586,0.6963,1.4533,3.4791,100
160609,鹏华货币B,2019-01-17,0.734,2.717,2.7021,3.0693,2.9828,0.2578,0.7096,1.4546,3.4894,5000000
724,大成添利宝货币A,2019-01-17,0.7671,2.831,2.8082,2.7994,2.7995,0.2348,0.6742,1.4806,3.4901,100
1871,前海开源货币B,2019-01-17,0.611,2.491,2.4753,2.7825,2.8671,0.2426,0.6913,1.4761,3.4921,5000000
2958,财通财通宝货币B,2019-01-17,0.7689,2.932,3.0301,3.2901,3.1904,0.2714,0.7289,1.5361,3.4926,5000000
400006,东方金账簿货币B,2019-01-17,0.4981,1.864,2.1492,2.9959,3.0006,0.2518,0.6999,1.4404,3.4929,5000000
3997,泓德添利货币A,2019-01-17,1.754,2.636,2.4885,3.4753,3.262,0.2836,0.7215,1.5394,3.4933,100
542,上银慧财宝货币A,2019-01-17,0.7323,2.699,2.8638,3.2151,3.1368,0.2664,0.7111,1.4674,3.4935,100
161622,融通汇财宝货币A,2019-01-17,0.7432,2.775,2.8776,3.0594,3.0804,0.258,0.7305,1.502,3.4938,100
4861,泰康现金管家货币A,2019-01-17,0.6708,1.999,2.5952,3.0228,2.9104,0.2462,0.708,1.4697,3.494,100
912,英大现金宝货币,2019-01-17,2.072,4.01,4.0868,3.7707,3.4395,0.3032,0.7582,1.5611,3.4962,100
550011,信诚货币B,2019-01-17,0.5839,2.107,2.7571,3.1731,3.0527,0.2612,0.6892,1.4546,3.4962,5000000
253051,国联安货币B,2019-01-17,0.7423,2.876,2.8985,3.3023,3.2021,0.2734,0.7178,1.447,3.5005,5000000
121011,国投瑞银货币A,2019-01-17,0.6889,2.92,2.8033,2.8154,2.7794,0.2353,0.6672,1.5013,3.5012,100
4967,红土创新货币A,2019-01-17,0.5171,2.159,2.5605,3.5876,3.4551,0.2978,0.696,1.453,3.5024,100
1176,山证日日添利货币B,2019-01-17,0.8434,3.155,3.1265,3.2325,3.2256,0.2704,0.7869,1.5808,3.5056,5000000
1973,光大耀钱包货币A,2019-01-17,0.7937,2.916,2.7355,3.1245,3.0418,0.2577,0.7135,1.5201,3.5129,100
982,北信瑞丰现金添利B,2019-01-17,1.3516,2.809,2.7392,2.7446,2.7152,0.2285,0.7904,1.5066,3.5129,5000000
270004,广发货币A,2019-01-17,0.7156,2.593,2.6662,2.8091,2.8153,0.2402,0.6852,1.4757,3.5238,100
4970,南方天天宝货币A,2019-01-17,0.6904,2.499,2.702,2.9209,2.8776,0.2424,0.7014,1.6118,3.5254,100
381,景顺长城景益货币B,2019-01-17,0.8301,3.072,3.0994,3.1173,3.103,0.2613,0.7515,1.5895,3.5293,5000000
3364,长江乐享货币B,2019-01-17,1.0088,2.829,2.825,2.9637,2.916,0.2504,0.7264,1.5348,3.5298,5000000
484,鑫元货币B,2019-01-17,0.6053,2.215,2.3821,3.7607,3.5474,0.3061,0.7628,1.5229,3.5348,5000000
3206,博时合鑫货币,2019-01-17,0.7649,2.801,2.8206,3.5061,3.3737,0.2887,0.7314,1.4859,3.5361,100
1698,大成恒丰宝货币B,2019-01-17,0.7173,2.794,2.7173,3.0302,2.9264,0.2494,0.6665,1.4753,3.5424,5000000
786,华融现金增利货币B,2019-01-17,0.7797,2.894,2.9628,3.1205,3.2037,0.2607,0.7148,1.4527,3.5433,5000000
331,中加货币A,2019-01-17,0.7236,2.62,2.9386,3.4574,3.2957,0.2884,0.7197,1.4564,3.5435,100
240006,华宝现金宝货币A,2019-01-17,0.7098,2.641,2.7726,2.9866,3.3355,0.2478,0.735,1.534,3.5436,500
