p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
001826,国寿安保增金宝货币,2019-01-18,0.7675,2.908,2.9975,3.2153,3.2869,0.2781,0.8511,1.7993,3.9332,100.0
070008,嘉实货币A,2019-01-20,0.7667,2.898,3.0302,2.9932,2.9885,0.2515,0.7446,1.573,3.5736,100.0
000331,中加货币A,2019-01-18,0.7665,2.648,2.8958,3.4488,3.3029,0.2887,0.72,1.4558,3.5393,100.0
150998,银河钱包货币B,2019-01-18,0.7664,2.781,2.8802,3.3162,3.2494,0.2756,0.7595,1.5389,3.6335,5000000.0
000786,华融现金增利货币B,2019-01-18,0.7662,2.883,2.9463,3.1097,3.197,0.2604,0.7155,1.4519,3.5413,5000000.0
000211,光大现金宝货币B,2019-01-18,0.7651,2.803,2.8646,3.4516,3.3854,0.284,0.7523,1.5251,3.5548,5000000.0
002894,华夏天利货币A,2019-01-19,0.7639,2.742,2.8858,2.8989,2.8693,0.2425,0.7142,1.5521,3.6652,100.0
000580,中邮货币B,2019-01-18,0.7635,2.671,2.5403,2.9285,2.838,0.2543,0.6656,1.3211,3.2909,5000000.0
000724,大成添利宝货币A,2019-01-18,0.7629,2.827,2.8113,2.7973,2.7979,0.235,0.6745,1.478,3.4858,100.0
003206,博时合鑫货币,2019-01-20,0.761,2.813,2.8125,3.4778,3.3793,0.2886,0.732,1.4837,3.5318,100.0
002958,财通财通宝货币B,2019-01-18,0.7602,2.821,2.982,3.2854,3.191,0.2713,0.7293,1.5301,3.4885,5000000.0
002852,招商财富宝交易型货币A,2019-01-18,0.7601,2.812,2.9156,3.3292,3.229,0.2753,0.7547,1.5942,3.6638,100.0
002302,新沃通宝B,2019-01-20,0.7596,3.054,3.3656,3.9553,3.9234,0.3304,0.967,1.8228,3.9544,5000000.0
004699,前海联合汇盈货币A,2019-01-19,0.7591,2.78,2.8781,3.1181,3.054,0.2593,0.7055,1.4772,3.4456,100.0
003185,建信货币B,2019-01-20,0.7588,3.74,3.4011,3.6371,3.5501,0.3028,0.8126,1.6953,3.9103,5000000.0
000627,大成丰财宝货币B,2019-01-18,0.7583,2.811,2.874,3.5029,3.3737,0.2884,0.7354,1.4941,3.5499,5000000.0
004971,南方天天宝货币B,2019-01-19,0.7576,2.768,2.8228,3.1496,3.1058,0.2634,0.7561,1.7278,3.7678,100.0
040038,华安日日鑫货币A,2019-01-18,0.7575,2.816,2.8554,2.8365,2.8297,0.2376,0.7094,1.4971,3.5484,100.0
090022,大成现金增利货币A,2019-01-18,0.757,2.854,2.7839,2.871,2.8601,0.2409,0.6673,1.4044,3.4703,100.0
519505,海富通货币A,2019-01-18,0.7561,2.624,2.6606,2.8178,2.8393,0.2426,0.6831,1.4184,3.3637,100.0
001077,华夏现金宝货币A,2019-01-19,0.7518,2.849,2.9301,2.9272,2.9241,0.2467,0.7517,1.5468,3.6084,100.0
000560,诺安天天宝E,2019-01-18,0.751,2.776,2.8454,3.0622,3.0637,0.2573,0.7217,1.5128,3.6784,100.0
001871,前海开源货币B,2019-01-18,0.75,2.603,2.5225,2.7544,2.8552,0.2468,0.6924,1.4741,3.4867,5000000.0
000701,景顺长城景丰货币A,2019-01-18,0.7495,3.042,2.9688,2.9348,2.8474,0.2468,0.6705,1.3461,3.1822,100.0
660107,农银货币B,2019-01-18,0.7492,2.947,3.2417,3.4052,3.3849,0.2868,0.8104,1.7073,3.8544,5000000.0
000366,汇添富添富通货币A,2019-01-20,0.7491,2.749,2.7875,3.1709,3.1479,0.264,0.7476,1.416,3.1221,100.0
217014,招商现金增值货币B,2019-01-18,0.7489,2.686,2.922,3.7069,3.5211,0.3029,0.7705,1.6242,3.6847,10000000.0
003003,华夏现金增利货币A/E,2019-01-19,0.7484,3.291,3.5134,3.3598,3.2913,0.2799,0.7657,1.5314,3.7909,100.0
002847,天弘现金管家货币E,2019-01-18,0.7482,2.852,2.8728,2.8242,2.8139,0.2399,0.7149,1.384,3.3744,100.0
004261,招商招禧宝货币A,2019-01-18,0.748,2.881,3.1052,3.3398,3.1954,0.2743,0.7521,1.5882,3.5811,100.0
004866,格林货币B,2019-01-18,0.7478,2.747,2.8082,3.6116,3.536,0.2953,0.8111,1.5224,3.6365,5000000.0
420006,天弘现金管家货币A,2019-01-18,0.7474,2.849,2.8699,2.8206,2.8098,0.2395,0.7115,1.3806,3.3721,1000.0
000475,广发天天利货币A,2019-01-19,0.7468,2.825,2.8903,2.9598,2.9678,0.2487,0.688,1.4729,3.5708,100.0
002680,工银安盈货币B,2019-01-18,0.7466,2.686,2.6641,3.1566,3.0822,0.2665,0.7209,1.6298,4.029,30000000.0
000509,广发钱袋子货币A,2019-01-19,0.7454,2.702,2.7468,3.0866,3.1156,0.2584,0.7373,1.5483,3.615,100.0
161622,融通汇财宝货币A,2019-01-19,0.7444,2.363,2.8312,3.0268,3.0583,0.2568,0.7306,1.5002,3.4898,100.0
